country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Benin,BEN,Sub-Saharan Africa ,2018,2019,1130.8214,1205.2174,1205.9684843201603,1218.2270879651371,1177.3835823148277,1293.0989,Model 2,test
Benin,BEN,Sub-Saharan Africa ,2019,2020,1200.1943,1183.7144,1185.1530311677711,1197.0913300584943,1175.2276413750108,1297.4519,Model 2,test
Benin,BEN,Sub-Saharan Africa ,2020,2021,1318.6516,1256.1138,1257.5067277128696,1269.5726270556286,1218.98857907247,1301.335,Model 2,test
Benin,BEN,Sub-Saharan Africa ,2021,2022,1266.4271,1373.5023,1374.5470859326422,1390.1354793834682,1462.6047896796622,1450.704,Model 2,test
Benin,BEN,Sub-Saharan Africa ,2022,2023,1394.1778,1322.0131,1325.22854327056,1338.9726059596017,1274.994321300587,1324.8898,Model 2,test
Burkina Faso,BFA,Sub-Saharan Africa ,2018,2019,764.8531,821.1255,823.4737925939901,830.2833856619889,779.4824399759384,817.4967,Model 2,test
Burkina Faso,BFA,Sub-Saharan Africa ,2019,2020,825.237,807.2676,810.115248198348,817.5178921453344,744.3692823068886,775.8619,Model 2,test
Burkina Faso,BFA,Sub-Saharan Africa ,2020,2021,895.5353,870.7566,873.8149445914881,881.0711871506041,838.481154897453,855.7403,Model 2,test
Burkina Faso,BFA,Sub-Saharan Africa ,2021,2022,827.3308,941.9099,944.8350773846722,953.4430934224356,960.307319524812,854.3594,Model 2,test
Burkina Faso,BFA,Sub-Saharan Africa ,2022,2023,873.4826,873.7785,878.4220555005364,883.7542683713884,871.4061220651679,880.78973,Model 2,test
Bangladesh,BGD,South Asia,2018,2019,2129.799,2092.5185,2108.6192985543116,2112.7410870487165,2143.510177975624,2307.0938,Model 2,test
Bangladesh,BGD,South Asia,2019,2020,2248.8508,2264.9425,2283.664931605778,2288.072400860717,2273.9947955037396,2465.8662,Model 2,test
Bangladesh,BGD,South Asia,2020,2021,2482.8492,2378.9253,2396.985818706975,2406.3028744375597,2442.190818659431,2771.0232,Model 2,test
Bangladesh,BGD,South Asia,2021,2022,2716.4859,2618.042,2635.7837165577844,2648.7317652745724,2666.4946686219428,2920.7163,Model 2,test
Bangladesh,BGD,South Asia,2022,2023,2551.0177,2882.6821,2909.895041448843,2913.0799353999287,3000.680848271815,3284.9946,Model 2,test
Bulgaria,BGR,Europe & Central Asia,2018,2019,10353.7205,10228.2254,10268.185553355945,10271.48083094368,10504.638087256668,10462.326,Model 2,test
Bulgaria,BGR,Europe & Central Asia,2019,2020,10760.212,10740.1162,10783.2523873914,10788.767582966722,10648.297476235755,10822.194,Model 2,test
Bulgaria,BGR,Europe & Central Asia,2020,2021,12966.1458,11095.28,11121.686440266703,11157.384099450865,11104.811271529608,11264.876,Model 2,test
Bulgaria,BGR,Europe & Central Asia,2021,2022,13999.195,13245.2771,13234.82141238213,13321.696419821606,12501.712192707966,11641.064,Model 2,test
Bulgaria,BGR,Europe & Central Asia,2022,2023,15853.2086,14421.6056,14444.237375497334,14455.347182087142,13569.170014880585,12712.175,Model 2,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2018,2019,27259.7439,27101.9385,27274.826899462343,27178.898658489565,26395.89195636837,29087.443,Model 2,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2019,2020,24342.8445,28037.9247,28215.591863797985,28125.89991822799,27511.08363733324,31077.645,Model 2,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2020,2021,27147.8084,24952.3256,25097.060026396553,25078.391533629947,25908.315238571355,26654.822,Model 2,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2021,2022,30470.5219,27742.6072,27855.46078658453,27859.91476832575,27725.029826029346,29024.625,Model 2,test
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",2022,2023,29290.1284,31339.3069,31518.302381191756,31396.11677628559,30625.969981994745,33044.742,Model 2,test
"Bahamas, The",BHS,Latin America & Caribbean ,2018,2019,33640.337,33142.008,33035.16184510852,33050.92754289091,34392.687584369596,35533.168,Model 2,test
"Bahamas, The",BHS,Latin America & Caribbean ,2019,2020,26178.7538,33851.875,33684.13188987239,33831.19415749585,29402.768273581893,31151.56,Model 2,test
"Bahamas, The",BHS,Latin America & Caribbean ,2020,2021,30367.8606,26535.0241,26528.820099619512,26575.561691967938,25799.31708531003,26263.76,Model 2,test
"Bahamas, The",BHS,Latin America & Caribbean ,2021,2022,34957.1613,30553.192,30425.2557906593,30565.78730797956,25455.267648060508,27998.477,Model 2,test
"Bahamas, The",BHS,Latin America & Caribbean ,2022,2023,38231.7745,35444.1106,35371.143722554945,35374.0270123526,37412.650097526006,38929.984,Model 2,test
Bosnia and Herzegovina,BIH,Europe & Central Asia,2018,2019,6122.3754,6377.656,6470.344036234311,6421.657826433164,6668.813253179288,6400.1284,Model 2,test
Bosnia and Herzegovina,BIH,Europe & Central Asia,2019,2020,6130.3119,6445.1053,6532.672101122739,6490.79871864364,6858.699483675994,6493.6294,Model 2,test
Bosnia and Herzegovina,BIH,Europe & Central Asia,2020,2021,7295.3438,6423.8899,6506.388761988754,6478.8520812906145,6571.076407885002,6613.86,Model 2,test
Bosnia and Herzegovina,BIH,Europe & Central Asia,2021,2022,7655.5942,7595.5807,7670.242046939136,7653.524860012965,7464.152952819774,7951.6396,Model 2,test
Bosnia and Herzegovina,BIH,Europe & Central Asia,2022,2023,8663.0233,8028.5887,8120.856695126198,8063.399126726443,7972.523119879272,7588.745,Model 2,test
Belarus,BLR,Europe & Central Asia,2018,2019,6837.7734,6619.5272,6682.88446850248,6687.295150716186,6424.838009209106,6987.254,Model 2,test
Belarus,BLR,Europe & Central Asia,2019,2020,6542.8558,7104.2324,7171.486521738934,7178.535819198078,6925.4007292461465,8156.2153,Model 2,test
Belarus,BLR,Europe & Central Asia,2020,2021,7489.7189,6763.6625,6818.779706193112,6842.982615574654,6531.80473931933,7742.812,Model 2,test
Belarus,BLR,Europe & Central Asia,2021,2022,7994.6481,7728.0194,7781.338373520596,7807.856216181813,7422.07415064007,8776.651,Model 2,test
Belarus,BLR,Europe & Central Asia,2022,2023,7896.7539,8289.8033,8360.674576630163,8360.688467025697,7621.402718610388,8611.625,Model 2,test
Belize,BLZ,Latin America & Caribbean ,2018,2019,6171.6145,6297.1263,6337.760345644416,6302.621711532172,6264.6778335646095,6650.8994,Model 2,test
Belize,BLZ,Latin America & Caribbean ,2019,2020,5238.5408,6457.595,6504.930718876063,6469.8648744970915,6254.816457823061,6876.388,Model 2,test
Belize,BLZ,Latin America & Caribbean ,2020,2021,6142.9893,5475.572,5525.291319640743,5499.762505123546,5666.51969427126,6157.333,Model 2,test
Belize,BLZ,Latin America & Caribbean ,2021,2022,7068.2173,6388.6338,6438.107104756142,6416.047775767465,6280.735202434406,6823.24,Model 2,test
Belize,BLZ,Latin America & Caribbean ,2022,2023,7424.7582,7363.5932,7417.048449223908,7380.244005222763,7301.894134193566,7688.2666,Model 2,test
Bolivia,BOL,Latin America & Caribbean ,2018,2019,4203.1549,4368.8852,4372.073029464035,4399.513782505412,4327.8728008850285,4233.205,Model 2,test
Bolivia,BOL,Latin America & Caribbean ,2019,2020,3580.9676,4362.633,4368.928288138762,4396.953660813812,4345.142081766521,4245.5645,Model 2,test
Bolivia,BOL,Latin America & Caribbean ,2020,2021,4010.7605,3669.5813,3671.817828468956,3717.682126410673,3240.233880621812,3350.2964,Model 2,test
Bolivia,BOL,Latin America & Caribbean ,2021,2022,4219.4611,4080.8712,4075.856018649694,4139.008232537324,3645.461235569452,3619.9165,Model 2,test
Bolivia,BOL,Latin America & Caribbean ,2022,2023,4274.7082,4349.4517,4372.85332532056,4409.711220023524,4379.80816574039,4415.257,Model 2,test
Brazil,BRA,Latin America & Caribbean ,2018,2019,9029.833,9617.0311,9661.263102400217,9726.928218705843,9914.98080387958,10616.964,Model 2,test
Brazil,BRA,Latin America & Caribbean ,2019,2020,7074.1941,9338.5534,9391.168321144176,9453.90299939495,9809.000490422455,10490.391,Model 2,test
Brazil,BRA,Latin America & Caribbean ,2020,2021,7972.537,7309.1644,7369.04874997453,7425.7137603349665,7219.575279944526,8236.24,Model 2,test
Brazil,BRA,Latin America & Caribbean ,2021,2022,9281.3328,8202.2053,8244.314860099086,8317.728312094549,7938.010703168472,8990.492,Model 2,test
Brazil,BRA,Latin America & Caribbean ,2022,2023,10377.5898,9571.013,9619.485325287138,9690.23514625076,9719.164637683636,10064.505,Model 2,test
Barbados,BRB,Latin America & Caribbean ,2018,2019,21912.1501,22076.0118,22101.310114557775,21976.285603196375,21941.02369479312,22513.654,Model 2,test
Barbados,BRB,Latin America & Caribbean ,2019,2020,19194.492,22614.7991,22637.798916804037,22515.361123845258,21956.874478264548,23051.814,Model 2,test
Brunei Darussalam,BRN,East Asia & Pacific,2018,2019,30426.5731,31462.1847,31467.63334371485,31480.54620679782,31915.69745024907,34186.55,Model 2,test
Brunei Darussalam,BRN,East Asia & Pacific,2019,2020,26834.3592,30894.8701,30902.682802536387,30927.0774002522,31035.56385781827,31393.998,Model 2,test
Brunei Darussalam,BRN,East Asia & Pacific,2020,2021,31006.9636,27318.9688,27366.93499728482,27358.482642929503,28161.65309075438,28969.621,Model 2,test
Brunei Darussalam,BRN,East Asia & Pacific,2021,2022,36632.9281,31457.8261,31460.30298753716,31490.3592753585,32989.95116271807,33262.746,Model 2,test
Brunei Darussalam,BRN,East Asia & Pacific,2022,2023,32890.5492,36883.6261,36759.781037870416,36896.47928699399,33451.11314851699,35174.03,Model 2,test
Bhutan,BTN,South Asia,2018,2019,3576.8799,3581.3993,3624.5246070832463,3606.367365029508,3541.9620112048915,3812.4197,Model 2,test
Bhutan,BTN,South Asia,2019,2020,3191.6691,3757.7319,3809.085559832799,3791.912910862384,3958.2903185323703,4209.144,Model 2,test
Bhutan,BTN,South Asia,2020,2021,3570.6126,3362.1452,3414.709145524403,3394.321200556588,3400.4899154257173,3906.4146,Model 2,test
Bhutan,BTN,South Asia,2021,2022,3711.3277,3749.9831,3810.66833367441,3789.272226872145,3944.630090914922,5070.6157,Model 2,test
Bhutan,BTN,South Asia,2022,2023,3831.3254,3893.8812,3959.210766274253,3937.882994585698,3977.3292738383175,5229.704,Model 2,test
Botswana,BWA,Sub-Saharan Africa ,2018,2019,7172.0896,7611.0222,7586.345886144082,7624.148043906669,7863.784327088227,7257.824,Model 2,test
Botswana,BWA,Sub-Saharan Africa ,2019,2020,6323.2975,7381.9282,7370.150766179552,7400.378740800623,7344.499168399495,7173.562,Model 2,test
Botswana,BWA,Sub-Saharan Africa ,2020,2021,7807.8879,6524.2911,6529.085288458986,6550.5796781692325,6382.938127486378,6089.5283,Model 2,test
Botswana,BWA,Sub-Saharan Africa ,2021,2022,8328.7091,7944.6921,7903.124896446076,7969.748441100729,7841.481322705427,7995.76,Model 2,test
Botswana,BWA,Sub-Saharan Africa ,2022,2023,7826.3538,8585.7142,8586.599496853727,8595.581901179135,8413.471159963263,8647.522,Model 2,test
Central African Republic,CAF,Sub-Saharan Africa ,2018,2019,449.2285,477.4562,477.7936615479044,483.57499226771927,476.8384904866342,551.1492,Model 2,test
Central African Republic,CAF,Sub-Saharan Africa ,2019,2020,462.8791,447.0752,438.2307972817791,455.11032781866015,475.6678469188342,526.6088,Model 2,test
Central African Republic,CAF,Sub-Saharan Africa ,2022,2023,495.9789,449.8089,435.4898849981131,459.4460303016794,510.9629488744989,494.41788,Model 2,test
Canada,CAN,North America,2018,2019,46352.8693,47396.443,47391.88672553224,47578.91262336108,46639.98792918217,48686.246,Model 2,test
Canada,CAN,North America,2019,2020,43537.8393,47276.784,47268.198277080315,47431.421060179586,46352.4684996825,48248.113,Model 2,test
Canada,CAN,North America,2020,2021,52886.6616,44362.0898,44374.90176019631,44550.56718804123,43657.14042905104,42630.453,Model 2,test
Canada,CAN,North America,2021,2022,56256.8007,53723.1728,53633.813940470936,53873.93099057509,49875.69862281563,50828.19,Model 2,test
Canada,CAN,North America,2022,2023,54220.3285,57096.8629,56931.35744405729,57190.278136669425,50741.76950212858,52880.535,Model 2,test
Switzerland,CHE,Europe & Central Asia,2018,2019,84121.931,86549.6885,86236.35560019671,86306.4992761379,83120.86037875008,83709.42,Model 2,test
Switzerland,CHE,Europe & Central Asia,2019,2020,85897.7843,85448.7366,85182.17991808179,85251.907411827,82655.69099667283,83192.125,Model 2,test
Switzerland,CHE,Europe & Central Asia,2020,2021,93664.7737,86971.6592,86627.78291845701,86829.41686720322,82631.77797645984,82695.445,Model 2,test
Switzerland,CHE,Europe & Central Asia,2021,2022,94394.5107,94878.3098,94512.2289240712,94656.1259805869,81406.26889611993,83300.73,Model 2,test
Switzerland,CHE,Europe & Central Asia,2022,2023,100623.5496,95606.556,95213.49145974178,95344.59208963808,79813.7931970966,82030.55,Model 2,test
Chile,CHL,Latin America & Caribbean ,2018,2019,14495.7167,16255.1597,16388.588072686907,16366.874836308045,16128.726250249352,18396.59,Model 2,test
Chile,CHL,Latin America & Caribbean ,2019,2020,13114.8155,15057.993,15189.296969119643,15169.1850510538,15337.248618826552,17382.295,Model 2,test
Chile,CHL,Latin America & Caribbean ,2020,2021,16206.8325,13606.9754,13735.541425108211,13724.892016961794,14520.269887940629,16599.959,Model 2,test
Chile,CHL,Latin America & Caribbean ,2021,2022,15405.6166,16729.709,16849.1237545609,16860.36205571281,18892.355273556437,18946.0,Model 2,test
Chile,CHL,Latin America & Caribbean ,2022,2023,17067.0365,15951.0467,16077.388817689423,16056.51959479978,15378.541598686865,16590.857,Model 2,test
China,CHN,East Asia & Pacific,2018,2019,10342.901,10443.5297,10475.641404629872,10578.635556541234,10332.971131331578,11989.101,Model 2,test
China,CHN,East Asia & Pacific,2019,2020,10627.4638,10716.8546,10747.18692881457,10847.93825580871,10440.492941247718,11835.6,Model 2,test
China,CHN,East Asia & Pacific,2020,2021,12887.4357,10992.1495,11033.385529332283,11141.48690602278,10682.52818505805,12005.92,Model 2,test
China,CHN,East Asia & Pacific,2021,2022,12970.6056,13274.4516,13307.631781596314,13454.23845280616,13411.870501100722,14770.125,Model 2,test
China,CHN,East Asia & Pacific,2022,2023,12951.1782,13357.089,13396.810018461896,13541.712482874256,13574.118349370314,14779.509,Model 2,test
Cote d'Ivoire,CIV,Sub-Saharan Africa ,2018,2019,2141.7684,2194.0012,2188.7011728019047,2222.757803666615,2147.2595800018807,2106.591,Model 2,test
Cote d'Ivoire,CIV,Sub-Saharan Africa ,2019,2020,2179.7293,2208.476,2203.455857539747,2236.326428281284,2165.3782575417654,2106.6453,Model 2,test
Cote d'Ivoire,CIV,Sub-Saharan Africa ,2020,2021,2455.9813,2247.1795,2241.1333126606096,2274.347710133377,2231.7405808907256,2170.7117,Model 2,test
Cote d'Ivoire,CIV,Sub-Saharan Africa ,2021,2022,2333.3713,2528.8169,2519.224028101806,2556.4747185588267,2506.747483988577,2416.638,Model 2,test
Cote d'Ivoire,CIV,Sub-Saharan Africa ,2022,2023,2591.9659,2411.6522,2407.646748843097,2438.809912501651,2400.433489711212,2311.4653,Model 2,test
Cameroon,CMR,Sub-Saharan Africa ,2018,2019,1555.2266,1675.9187,1676.7285867321473,1696.383950381979,1752.675086755935,1690.572,Model 2,test
Cameroon,CMR,Sub-Saharan Africa ,2019,2020,1555.6037,1619.2215,1623.216687179729,1641.1840821906633,1768.1261455088195,1738.7882,Model 2,test
Cameroon,CMR,Sub-Saharan Africa ,2020,2021,1672.3266,1619.0047,1623.3008652271271,1641.4937786140058,1765.7175556662862,1730.6133,Model 2,test
Cameroon,CMR,Sub-Saharan Africa ,2021,2022,1604.8773,1735.3632,1738.1621530636892,1759.6044278665531,1793.0705607356374,1810.6255,Model 2,test
Cameroon,CMR,Sub-Saharan Africa ,2022,2023,1720.4751,1673.2334,1678.839379871646,1695.2681931793504,1775.236810956429,1718.4668,Model 2,test
"Congo, Rep.",COG,Sub-Saharan Africa ,2018,2019,2488.4247,2820.0801,2815.4265844808124,2825.732190152036,2931.4826270244876,3036.1016,Model 2,test
"Congo, Rep.",COG,Sub-Saharan Africa ,2019,2020,1993.5867,2597.4342,2593.3818112742824,2606.534531044176,2623.315851356303,3014.6587,Model 2,test
"Congo, Rep.",COG,Sub-Saharan Africa ,2020,2021,2516.1626,2092.2629,2098.7017597740546,2104.8225013425695,2174.7850150656086,2207.4106,Model 2,test
"Congo, Rep.",COG,Sub-Saharan Africa ,2021,2022,2620.838,2623.7828,2628.917454368127,2641.2173943713046,2687.7378815246293,2860.0103,Model 2,test
"Congo, Rep.",COG,Sub-Saharan Africa ,2022,2023,2477.9785,2730.608,2741.6655071296,2753.6297781173325,2823.3125056538943,2789.2444,Model 2,test
Colombia,COL,Latin America & Caribbean ,2018,2019,6472.5454,7130.8552,7189.133100557057,7195.94162844154,7334.078813250959,7726.908,Model 2,test
Colombia,COL,Latin America & Caribbean ,2019,2020,5339.6871,6779.1597,6841.033785604418,6843.853547729493,6897.644953746172,6895.478,Model 2,test
Colombia,COL,Latin America & Caribbean ,2020,2021,6222.6216,5574.416,5632.208859375041,5644.510212832797,5874.810292905597,6400.263,Model 2,test
Colombia,COL,Latin America & Caribbean ,2021,2022,6680.4451,6442.3421,6487.796598731615,6523.918652678286,6293.644389087391,6869.447,Model 2,test
Colombia,COL,Latin America & Caribbean ,2022,2023,7000.8366,6987.3973,7054.671878100126,7053.94854068726,7099.016848808786,6990.0596,Model 2,test
Comoros,COM,Sub-Saharan Africa ,2019,2020,1519.3467,1606.3002,1615.1733330045818,1609.3635653533831,1528.573129181568,1636.5323,Model 2,test
Comoros,COM,Sub-Saharan Africa ,2020,2021,1554.9729,1612.7143,1623.6386395829454,1619.2024555756375,1521.476035428548,1760.8497,Model 2,test
Comoros,COM,Sub-Saharan Africa ,2021,2022,1465.4796,1644.04,1656.2687548133176,1654.1816128982225,1719.4316371003467,1947.7228,Model 2,test
Comoros,COM,Sub-Saharan Africa ,2022,2023,1560.2738,1560.8979,1574.779847506367,1565.6908705482122,1600.6790790398609,1774.909,Model 2,test
Cabo Verde,CPV,Sub-Saharan Africa ,2018,2019,4380.7812,4546.2683,4607.428986605621,4563.723647581828,4511.169968213464,4902.004,Model 2,test
Cabo Verde,CPV,Sub-Saharan Africa ,2019,2020,3539.2266,4639.8508,4706.292292833302,4659.308952510921,4582.97601351707,5183.0513,Model 2,test
Cabo Verde,CPV,Sub-Saharan Africa ,2020,2021,3971.4441,3739.9287,3801.0154143883474,3768.556677400112,3870.509226128074,4879.741,Model 2,test
Cabo Verde,CPV,Sub-Saharan Africa ,2021,2022,4323.3136,4195.2374,4261.749545751532,4223.502138163147,4154.003353449657,5085.144,Model 2,test
Cabo Verde,CPV,Sub-Saharan Africa ,2022,2023,4794.9012,4581.5132,4657.888370140823,4604.41719739854,4632.243603503782,4908.0005,Model 2,test
Costa Rica,CRI,Latin America & Caribbean ,2018,2019,12884.686,13166.3853,13283.320724652112,13210.704316182111,13341.618743315255,14673.111,Model 2,test
