country_name,country_code,wb_region,year,year_trend,gdp_per_capita_usd,log_gdp_per_capita,population_total,log_population_total,life_expectancy_years,inflation_pct_clean,unemployment_pct_clean,internet_users_pct_clean,asian_financial_crisis_9798,global_financial_crisis_0809,model_name,target_year,predicted_gdp_next_year,compare_model
Viet Nam,VNM,East Asia & Pacific,2027,67,5377.471460604484,8.589973553941281,103083886.48090528,18.451053646577698,74.588,3.25289282667662,1.645,89.57731843825928,0,0,Model 2,2028,5662.6486986649,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2028,68,5662.6486986649,8.641647029696367,103778350.65690984,18.457767939090257,74.588,3.25289282667662,1.645,92.45164803129013,0,0,Model 2,2029,5956.389759496149,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2029,69,5956.389759496149,8.692219831470759,104477493.35744639,18.464482231602815,74.588,3.25289282667662,1.645,95.32597762432097,0,0,Model 2,2030,6258.622576856575,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2030,70,6258.622576856575,8.741715404236835,105181346.10119194,18.471196524115378,74.588,3.25289282667662,1.645,98.20030721735182,0,0,Model 2,2031,6569.26145589266,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2031,71,6569.26145589266,8.79015669357593,105889940.61916003,18.477910816627936,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2032,6888.207402235645,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2032,72,6888.207402235645,8.837566156315638,106603308.8561335,18.484625109140495,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2033,7215.348490986502,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2033,73,7215.348490986502,8.88396577094055,107321482.9721031,18.491339401653054,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2034,7550.560272600434,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2034,74,7550.560272600434,8.92937704778122,108044495.34371808,18.498053694165616,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2035,7893.70621260065,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2035,75,7893.70621260065,8.973821038986111,108772378.56574427,18.504767986678175,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2036,8244.638161994892,Model 2 - Elastic Net
Viet Nam,VNM,East Asia & Pacific,2036,76,8244.638161994892,9.017318348281133,109505165.45253582,18.511482279190734,74.588,3.25289282667662,1.645,100.0,0,0,Model 2,2037,8603.196855237407,Model 2 - Elastic Net
