country_name,country_code,wb_region,feature_year,target_year,actual_gdp_next_year,pred_ols,pred_ridge,pred_elastic_net,pred_random_forest,pred_xgboost,spec,split
Belarus,BLR,Europe & Central Asia,2022,2023,7896.7539,8378.1818,8396.89102240092,8395.412672169568,8540.118718122298,8599.47,Model 1,test
Belize,BLZ,Latin America & Caribbean ,2018,2019,6171.6145,6342.6395,6378.393519012325,6374.241597486087,6366.040268768129,6474.5957,Model 1,test
Belize,BLZ,Latin America & Caribbean ,2019,2020,5238.5408,6511.4328,6548.881332275058,6544.573353291347,6486.014896187913,6741.207,Model 1,test
Belize,BLZ,Latin America & Caribbean ,2020,2021,6142.9893,5532.0372,5561.418390564261,5557.97953467921,5453.330989748582,5800.8794,Model 1,test
Belize,BLZ,Latin America & Caribbean ,2021,2022,7068.2173,6455.4167,6485.037341420928,6481.181768098234,6170.8986109257075,6478.7466,Model 1,test
Belize,BLZ,Latin America & Caribbean ,2022,2023,7424.7582,7429.134,7467.869351312776,7463.102927223843,7623.356376521292,7423.642,Model 1,test
Bolivia,BOL,Latin America & Caribbean ,2018,2019,4203.1549,4396.3964,4390.198859177625,4390.623207966709,4351.037835232426,4310.8516,Model 1,test
Bolivia,BOL,Latin America & Caribbean ,2019,2020,3580.9676,4393.8045,4387.898361678917,4388.314098641121,4340.059363388038,4310.8516,Model 1,test
Bolivia,BOL,Latin America & Caribbean ,2020,2021,4010.7605,3710.9299,3694.416557976059,3695.427701246093,3501.9823565001243,3667.83,Model 1,test
Bolivia,BOL,Latin America & Caribbean ,2021,2022,4219.4611,4131.667,4108.342986108217,4109.685922444019,3615.579423738024,3747.4622,Model 1,test
Bolivia,BOL,Latin America & Caribbean ,2022,2023,4274.7082,4406.107,4398.80319496771,4399.305805770789,4387.609123811917,4310.8516,Model 1,test
Brazil,BRA,Latin America & Caribbean ,2018,2019,9029.833,9703.9176,9694.100742192668,9696.96408607747,9921.03407256399,11229.855,Model 1,test
Brazil,BRA,Latin America & Caribbean ,2019,2020,7074.1941,9431.0115,9422.961978493344,9425.699646848,9662.84355914368,10122.81,Model 1,test
Brazil,BRA,Latin America & Caribbean ,2020,2021,7972.537,7401.9863,7391.894035940562,7394.412003055501,7258.499877388394,7864.721,Model 1,test
Brazil,BRA,Latin America & Caribbean ,2021,2022,9281.3328,8291.7195,8270.517611682344,8273.762617545872,8187.128888163232,8439.723,Model 1,test
Brazil,BRA,Latin America & Caribbean ,2022,2023,10377.5898,9665.8994,9650.888021613471,9654.03360562107,9874.59661197602,11112.432,Model 1,test
Barbados,BRB,Latin America & Caribbean ,2018,2019,21912.1501,22206.4704,22357.488554197844,22338.243536116643,22767.826836296208,21909.918,Model 1,test
Barbados,BRB,Latin America & Caribbean ,2019,2020,19194.492,22752.835,22908.45609437739,22888.642087656797,23663.187394419667,22786.861,Model 1,test
Brunei Darussalam,BRN,East Asia & Pacific,2018,2019,30426.5731,31809.1784,31957.962604116216,31934.310205480873,32380.47466058636,32539.318,Model 1,test
Brunei Darussalam,BRN,East Asia & Pacific,2019,2020,26834.3592,31248.2645,31396.100847370115,31372.86585155618,30246.1859277973,32539.318,Model 1,test
Brunei Darussalam,BRN,East Asia & Pacific,2020,2021,31006.9636,27634.1222,27771.22191674467,27750.693745091365,28562.472941575037,28463.373,Model 1,test
Brunei Darussalam,BRN,East Asia & Pacific,2021,2022,36632.9281,31816.9686,31961.774108065227,31938.428295782185,31875.176040022496,32539.318,Model 1,test
Brunei Darussalam,BRN,East Asia & Pacific,2022,2023,32890.5492,37283.1059,37392.70434969664,37367.972400873,35136.59190464519,35667.105,Model 1,test
Bhutan,BTN,South Asia,2018,2019,3576.8799,3619.9635,3638.8491018420705,3637.010025487885,3683.6508137903174,3853.984,Model 1,test
Bhutan,BTN,South Asia,2019,2020,3191.6691,3806.786,3827.074171973366,3825.1020860520193,3823.8318105910257,4010.7437,Model 1,test
Bhutan,BTN,South Asia,2020,2021,3570.6126,3406.7935,3426.1163569716477,3424.328858802633,3610.882224298732,3610.9104,Model 1,test
Bhutan,BTN,South Asia,2021,2022,3711.3277,3804.2741,3825.64663130339,3823.6239667901727,3833.3936654263366,4079.0898,Model 1,test
Bhutan,BTN,South Asia,2022,2023,3831.3254,3953.9643,3976.728409179603,3974.585593274285,3892.2122242687774,4323.5903,Model 1,test
Botswana,BWA,Sub-Saharan Africa ,2018,2019,7172.0896,7647.5191,7639.014498015128,7637.977080775044,7400.791186579993,7468.2505,Model 1,test
Botswana,BWA,Sub-Saharan Africa ,2019,2020,6323.2975,7423.1625,7419.1764943912385,7417.9791518033235,7210.197052411429,7219.0493,Model 1,test
Botswana,BWA,Sub-Saharan Africa ,2020,2021,7807.8879,6569.0691,6568.858495663431,6567.712186768624,6118.990936429793,6501.8896,Model 1,test
Botswana,BWA,Sub-Saharan Africa ,2021,2022,8328.7091,7991.1222,7964.434320518927,7964.277369057144,7821.706038761591,7672.109,Model 1,test
Botswana,BWA,Sub-Saharan Africa ,2022,2023,7826.3538,8626.4267,8628.555737761515,8626.729036464758,9015.578154907043,8465.962,Model 1,test
Central African Republic,CAF,Sub-Saharan Africa ,2018,2019,449.2285,480.2954,476.80986456066927,477.0598137935896,432.0654003431959,473.1874,Model 1,test
Central African Republic,CAF,Sub-Saharan Africa ,2019,2020,462.8791,450.6644,441.1025864690443,441.6615084570952,427.19837688235015,458.6714,Model 1,test
Central African Republic,CAF,Sub-Saharan Africa ,2022,2023,495.9789,454.155,440.6361609321487,441.3964278200478,470.4397552061167,495.7926,Model 1,test
Canada,CAN,North America,2018,2019,46352.8693,47823.457,47961.87436724458,47950.662506145985,46324.826247192475,45874.754,Model 1,test
Canada,CAN,North America,2019,2020,43537.8393,47676.0321,47824.990990965714,47813.32748483232,45999.21660437295,45827.094,Model 1,test
Canada,CAN,North America,2020,2021,52886.6616,44768.8465,44893.284059289435,44883.454149279656,45129.35864748192,43363.152,Model 1,test
Canada,CAN,North America,2021,2022,56256.8007,54162.3409,54295.12024680214,54283.20176374408,51269.91890803963,49721.977,Model 1,test
Canada,CAN,North America,2022,2023,54220.3285,57500.9932,57624.30243947713,57612.34758367634,52964.607168343835,52009.24,Model 1,test
Switzerland,CHE,Europe & Central Asia,2018,2019,84121.931,87106.735,87558.87855750429,87509.89382643938,91611.05269377257,80689.19,Model 1,test
Switzerland,CHE,Europe & Central Asia,2019,2020,85897.7843,86040.5728,86497.06911555742,86448.32977668355,91778.89122746566,79933.016,Model 1,test
Switzerland,CHE,Europe & Central Asia,2020,2021,93664.7737,87624.7008,88031.5010965262,87984.82221227561,83516.12952872294,79414.44,Model 1,test
Switzerland,CHE,Europe & Central Asia,2021,2022,94394.5107,95551.8228,96030.52806178627,95977.07240853552,89285.36665056014,89456.805,Model 1,test
Switzerland,CHE,Europe & Central Asia,2022,2023,100623.5496,96245.2803,96715.57228967428,96662.3672094676,82105.25204933455,87223.266,Model 1,test
Chile,CHL,Latin America & Caribbean ,2018,2019,14495.7167,16423.4122,16499.75688076599,16494.943691287775,15436.47464155336,16405.498,Model 1,test
Chile,CHL,Latin America & Caribbean ,2019,2020,13114.8155,15217.8828,15287.720694117555,15283.443533224834,14962.3408857727,15930.261,Model 1,test
Chile,CHL,Latin America & Caribbean ,2020,2021,16206.8325,13763.56,13819.556528191588,13816.206276114455,14399.270921287063,14890.1,Model 1,test
Chile,CHL,Latin America & Caribbean ,2021,2022,15405.6166,16915.1265,16972.687729738707,16968.832126904577,17394.014577140657,18509.2,Model 1,test
Chile,CHL,Latin America & Caribbean ,2022,2023,17067.0365,16107.2876,16166.598724939717,16162.77614528564,15771.556359767432,16767.514,Model 1,test
China,CHN,East Asia & Pacific,2018,2019,10342.901,10525.9836,10502.612145703746,10508.350290390565,10539.659309463625,10673.134,Model 1,test
China,CHN,East Asia & Pacific,2019,2020,10627.4638,10794.8863,10772.13639161184,10777.936601591971,10629.68248179998,9418.19,Model 1,test
China,CHN,East Asia & Pacific,2020,2021,12887.4357,11087.7978,11064.517746729522,11070.445397318554,11006.25827564225,11255.877,Model 1,test
